dataset,localization_method,run_id_loc,reduction_method,chaos_comp,chaos_type,ac@2,ac@5,avg@5,elapsed_time_loc,run_id_tsdr,tp,tn,fn,fp,specificity,recall,proportion,f1_score,mcc,bacc,reduction_rate,elapsed_time_tsdr,num_metrics(reduced),num_metrics(filtered),num_metrics(raw),num_found_cause_metrics,rs_ac@2,rs_ac@5,rs_avg@5,elapsed_time_sum
TT-medium,e-Diagnosis,TSDRLOC-1913,MetricSifter,ts-station-service,pod-memory-hog,0.0,0.0,0.0,26.023916,TSDR-1817,5.0,731.3333333333334,0.3333333333333333,577.6666666666666,0.5583403941429455,0.9444444444444444,0.0085989529554171,0.0170400170679881,0.0636531363307373,0.7513924192936949,0.5563345574428966,1.966833333333333,582,1314,2917,5.0,0.0171238067766085,0.0422601449905867,0.0255023754528625,27.990749333333333
TT-medium,RCD,TSDRLOC-1921,MetricSifter,ts-station-service,pod-memory-hog,0.0,0.1,0.045,1684.861575,TSDR-1817,5.0,731.3333333333334,0.3333333333333333,577.6666666666666,0.5583403941429455,0.9444444444444444,0.0085989529554171,0.0170400170679881,0.0636531363307373,0.7513924192936949,0.5563345574428966,1.966833333333333,582,1314,2917,5.0,0.0171238067766085,0.0422601449905867,0.0255023754528625,1686.8284083333333
TT-medium,CG+PageRank,TSDRLOC-1929,MetricSifter,ts-station-service,pod-memory-hog,0.0,0.0,0.0,1.974575,TSDR-1817,5.0,731.3333333333334,0.3333333333333333,577.6666666666666,0.5583403941429455,0.9444444444444444,0.0085989529554171,0.0170400170679881,0.0636531363307373,0.7513924192936949,0.5563345574428966,1.966833333333333,582,1314,2917,5.0,0.0171238067766085,0.0422601449905867,0.0255023754528625,3.941408333333333
TT-medium,RCD,TSDRLOC-1953,MetricSifter,ts-station-service,pod-memory-hog,0.0,0.1,0.02,1446.091707,TSDR-1817,5.0,731.3333333333334,0.3333333333333333,577.6666666666666,0.5583403941429455,0.9444444444444444,0.0085989529554171,0.0170400170679881,0.0636531363307373,0.7513924192936949,0.5563345574428966,1.966833333333333,582,1314,2917,5.0,0.0171238067766085,0.0422601449905867,0.0255023754528625,1448.0585403333334
TT-medium,RS,,MetricSifter,ts-station-service,pod-memory-hog,0.0171238067766085,0.0422601449905867,0.0255023754528625,,TSDR-1817,5.0,731.3333333333334,0.3333333333333333,577.6666666666666,0.5583403941429455,0.9444444444444444,0.0085989529554171,0.0170400170679881,0.0636531363307373,0.7513924192936949,0.5563345574428966,1.966833333333333,582,1314,2917,5.0,0.0171238067766085,0.0422601449905867,0.0255023754528625,
TT-medium,e-Diagnosis,TSDRLOC-1913,MetricSifter,ts-train-service,pod-cpu-hog,0.0,0.0,0.0,14.116479,TSDR-1817,3.0,931.6666666666666,0.0,291.6666666666667,0.7613372628616948,1.0,0.0101953145287491,0.0201845570266622,0.0880839466093561,0.8806686314308475,0.7594701162659501,1.5489333333333333,294,1226,2806,3.0,0.0202865396553345,0.0499462659682862,0.0301727654386286,15.665412333333332
TT-medium,RCD,TSDRLOC-1921,MetricSifter,ts-train-service,pod-cpu-hog,0.0,0.333333,0.133333,898.865795,TSDR-1817,3.0,931.6666666666666,0.0,291.6666666666667,0.7613372628616948,1.0,0.0101953145287491,0.0201845570266622,0.0880839466093561,0.8806686314308475,0.7594701162659501,1.5489333333333333,294,1226,2806,3.0,0.0202865396553345,0.0499462659682862,0.0301727654386286,900.4147283333334
TT-medium,CG+PageRank,TSDRLOC-1929,MetricSifter,ts-train-service,pod-cpu-hog,0.0,0.0,0.0,0.671073,TSDR-1817,3.0,931.6666666666666,0.0,291.6666666666667,0.7613372628616948,1.0,0.0101953145287491,0.0201845570266622,0.0880839466093561,0.8806686314308475,0.7594701162659501,1.5489333333333333,294,1226,2806,3.0,0.0202865396553345,0.0499462659682862,0.0301727654386286,2.220006333333333
TT-medium,RCD,TSDRLOC-1953,MetricSifter,ts-train-service,pod-cpu-hog,0.0,0.333333,0.066667,546.84615,TSDR-1817,3.0,931.6666666666666,0.0,291.6666666666667,0.7613372628616948,1.0,0.0101953145287491,0.0201845570266622,0.0880839466093561,0.8806686314308475,0.7594701162659501,1.5489333333333333,294,1226,2806,3.0,0.0202865396553345,0.0499462659682862,0.0301727654386286,548.3950833333333
TT-medium,RS,,MetricSifter,ts-train-service,pod-cpu-hog,0.0202865396553345,0.0499462659682862,0.0301727654386286,,TSDR-1817,3.0,931.6666666666666,0.0,291.6666666666667,0.7613372628616948,1.0,0.0101953145287491,0.0201845570266622,0.0880839466093561,0.8806686314308475,0.7594701162659501,1.5489333333333333,294,1226,2806,3.0,0.0202865396553345,0.0499462659682862,0.0301727654386286,
