,anomaly_type,num_node,num_edge,func_type,noise_type,weight_generator,num_normal_samples,num_abnormal_samples,reduction_method,num_remained,num_total,reduction_rate,root_cause_recall,recall,precision,specificity,f1_score,bacc,elapsed_time_tsdr,trial_no
313,1,50,100,identity,uniform,uniform,160,20,FluxInfer-AD,23.0,50.0,0.54,0.1,0.2463636363636364,0.16293706293706295,0.48220673635307776,0.17907636738906088,0.3642851863583571,2.3640559442341327,3.0
314,1,50,100,identity,uniform,uniform,160,20,HDBS-R,7.8,50.0,0.844,0.1,0.1608080808080808,0.2611111111111111,0.8413925056543798,0.19231193926846102,0.5011002932312303,1.4634119676426054,3.0
315,1,50,100,identity,uniform,uniform,160,20,HDBS-SBD,8.0,50.0,0.8400000000000001,0.1,0.18398989898989898,0.3057142857142857,0.8534384742343664,0.2250891265597148,0.5187141866121326,0.0899706119671464,3.0
316,1,50,100,identity,uniform,uniform,160,20,K-S test,1.2,50.0,0.976,0.06666666666666667,0.049090909090909095,0.4,0.7903600464576075,0.08405797101449276,0.4197254777742582,0.010598605498671532,3.0
317,1,50,100,identity,uniform,uniform,160,20,MetricSifter,13.4,50.0,0.732,1.0,1.0,0.9777777777777779,0.9952380952380953,0.9882352941176471,0.9976190476190476,0.04286938272416592,3.0
318,1,50,100,identity,uniform,uniform,160,20,NSigma,14.0,50.0,0.72,1.0,1.0,0.9512820512820512,0.9775939849624059,0.9738181818181818,0.988796992481203,0.005429461225867271,3.0
319,1,50,100,identity,uniform,uniform,160,20,None,50.0,50.0,0.0,1.0,1.0,0.264,0.0,0.40813863231427006,0.5,5.324371159076691e-06,3.0
320,1,50,200,identity,exponential,normal,160,20,BIRCH,37.2,50.0,0.256,1.0,1.0,0.6402298947462078,0.5274472412916349,0.7608461294713359,0.7637236206458174,0.01894285287708044,3.0
321,1,50,200,identity,exponential,normal,160,20,FluxInfer-AD,14.6,50.0,0.708,0.0,0.017763157894736842,0.075,0.4599160945842867,0.028695652173913046,0.23883962623951183,1.8811354056000709,3.0
322,1,50,200,identity,exponential,normal,160,20,HDBS-R,6.4,50.0,0.8720000000000001,0.0,0.1240392648287385,0.5164285714285713,0.8846554792779049,0.19293859649122808,0.5043473720533217,1.460991580411792,3.0
